"","[150, 160[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
150,"[150, 160[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
155,"[150, 160[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
156,"[150, 160[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
160,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
163,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
164,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
165,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
167,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
168,"[160, 170[","[150, 170[","[150, 190[","[150, 230[","[150, 291[",*
170,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
172,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
175,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
176,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
177,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
178,"[170, 180[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
180,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
181,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
182,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
183,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
184,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
185,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
186,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
187,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
188,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
189,"[180, 190[","[170, 190[","[150, 190[","[150, 230[","[150, 291[",*
190,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
191,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
192,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
193,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
194,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
195,"[190, 200[","[190, 210[","[190, 230[","[150, 230[","[150, 291[",*
