Name,Team,Position,Height(inches),Weight(lbs),Age
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,B**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Baseman,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Other,"[67, 84[","[150, 291[","[20.9, 49.52["
*,C**,Pitcher,"[67, 84[","[150, 291[","[20.9, 49.52["
